OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
?,2169,2169,2169,2169,2169,2169,2169,2169,2169,2169
?,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590
?,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730
?,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452
?,523,523,523,523,523,523,523,523,523,523
?,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648
?,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282
?,989,989,989,989,989,989,989,989,989,989
?,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202
?,488,488,488,488,488,488,488,488,488,488
?,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380
?,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379
?,2423,2423,2423,2423,2423,2423,2423,2423,2423,2423
?,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494
?,442,442,442,442,442,442,442,442,442,442
?,186,186,186,186,186,186,186,186,186,186
?,303,303,303,303,303,303,303,303,303,303
?,1454,1454,1454,1454,1454,1454,1454,1454,1454,1454
?,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839
?,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675
?,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843
?,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785
?,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185
?,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955
?,552,552,552,552,552,552,552,552,552,552
?,752,752,752,752,752,752,752,752,752,752
?,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415
?,2087,2087,2087,2087,2087,2087,2087,2087,2087,2087
?,344,344,344,344,344,344,344,344,344,344
?,624,624,624,624,624,624,624,624,624,624
?,32,32,32,32,32,32,32,32,32,32
?,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432
?,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430
?,1516,1516,1516,1516,1516,1516,1516,1516,1516,1516
?,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858
?,1554,1554,1554,1554,1554,1554,1554,1554,1554,1554
?,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313
?,1797,1797,1797,1797,1797,1797,1797,1797,1797,1797
?,724,724,724,724,724,724,724,724,724,724
?,2084,2084,2084,2084,2084,2084,2084,2084,2084,2084
?,2409,2409,2409,2409,2409,2409,2409,2409,2409,2409
?,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145
?,397,397,397,397,397,397,397,397,397,397
?,952,952,952,952,952,952,952,952,952,952
?,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218
?,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
?,1398,1398,1398,1398,1398,1398,1398,1398,1398,1398
?,198,198,198,198,198,198,198,198,198,198
?,2311,2311,2311,2311,2311,2311,2311,2311,2311,2311
?,2121,2121,2121,2121,2121,2121,2121,2121,2121,2121
?,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152
?,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375
?,2082,2082,2082,2082,2082,2082,2082,2082,2082,2082
?,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748
?,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169
?,1323,1323,1323,1323,1323,1323,1323,1323,1323,1323
?,1574,1574,1574,1574,1574,1574,1574,1574,1574,1574
?,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305
?,731,731,731,731,731,731,731,731,731,731
?,587,587,587,587,587,587,587,587,587,587
?,172,172,172,172,172,172,172,172,172,172
?,863,863,863,863,863,863,863,863,863,863
?,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764
?,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127
?,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140
?,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356
?,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288
?,408,408,408,408,408,408,408,408,408,408
?,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423
?,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167
?,679,679,679,679,679,679,679,679,679,679
?,486,486,486,486,486,486,486,486,486,486
?,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180
?,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122
?,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994
?,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798
?,917,917,917,917,917,917,917,917,917,917
?,694,694,694,694,694,694,694,694,694,694
?,1182,1182,1182,1182,1182,1182,1182,1182,1182,1182
?,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063
?,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483
?,435,435,435,435,435,435,435,435,435,435
?,949,949,949,949,949,949,949,949,949,949
?,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142
?,578,578,578,578,578,578,578,578,578,578
?,394,394,394,394,394,394,394,394,394,394
?,848,848,848,848,848,848,848,848,848,848
?,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262
?,2084,2084,2084,2084,2084,2084,2084,2084,2084,2084
?,692,692,692,692,692,692,692,692,692,692
?,113,113,113,113,113,113,113,113,113,113
?,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452
?,163,163,163,163,163,163,163,163,163,163
?,2212,2212,2212,2212,2212,2212,2212,2212,2212,2212
?,2204,2204,2204,2204,2204,2204,2204,2204,2204,2204
?,800,800,800,800,800,800,800,800,800,800
?,28,28,28,28,28,28,28,28,28,28
?,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001
?,106,106,106,106,106,106,106,106,106,106
?,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514
?,833,833,833,833,833,833,833,833,833,833
?,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155
?,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340
?,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747
?,1823,1823,1823,1823,1823,1823,1823,1823,1823,1823
?,2134,2134,2134,2134,2134,2134,2134,2134,2134,2134
?,517,517,517,517,517,517,517,517,517,517
?,1859,1859,1859,1859,1859,1859,1859,1859,1859,1859
?,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209
?,449,449,449,449,449,449,449,449,449,449
?,492,492,492,492,492,492,492,492,492,492
?,1821,1821,1821,1821,1821,1821,1821,1821,1821,1821
?,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771
?,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
?,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078
?,356,356,356,356,356,356,356,356,356,356
?,561,561,561,561,561,561,561,561,561,561
?,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141
?,478,478,478,478,478,478,478,478,478,478
?,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449
?,324,324,324,324,324,324,324,324,324,324
?,912,912,912,912,912,912,912,912,912,912
?,305,305,305,305,305,305,305,305,305,305
?,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340
?,642,642,642,642,642,642,642,642,642,642
?,2077,2077,2077,2077,2077,2077,2077,2077,2077,2077
?,1374,1374,1374,1374,1374,1374,1374,1374,1374,1374
?,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131
?,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858
?,2101,2101,2101,2101,2101,2101,2101,2101,2101,2101
?,304,304,304,304,304,304,304,304,304,304
?,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290
?,158,158,158,158,158,158,158,158,158,158
?,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776
?,412,412,412,412,412,412,412,412,412,412
?,2136,2136,2136,2136,2136,2136,2136,2136,2136,2136
?,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301
?,780,780,780,780,780,780,780,780,780,780
?,2287,2287,2287,2287,2287,2287,2287,2287,2287,2287
?,146,146,146,146,146,146,146,146,146,146
?,33,33,33,33,33,33,33,33,33,33
?,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008
?,561,561,561,561,561,561,561,561,561,561
?,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402
?,1541,1541,1541,1541,1541,1541,1541,1541,1541,1541
?,902,902,902,902,902,902,902,902,902,902
?,802,802,802,802,802,802,802,802,802,802
?,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087
?,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926
?,621,621,621,621,621,621,621,621,621,621
?,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985
?,767,767,767,767,767,767,767,767,767,767
?,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035
?,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158
?,540,540,540,540,540,540,540,540,540,540
?,814,814,814,814,814,814,814,814,814,814
?,364,364,364,364,364,364,364,364,364,364
?,2115,2115,2115,2115,2115,2115,2115,2115,2115,2115
?,878,878,878,878,878,878,878,878,878,878
?,14,14,14,14,14,14,14,14,14,14
?,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779
?,276,276,276,276,276,276,276,276,276,276
?,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
?,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285
?,2504,2504,2504,2504,2504,2504,2504,2504,2504,2504
?,855,855,855,855,855,855,855,855,855,855
?,730,730,730,730,730,730,730,730,730,730
?,159,159,159,159,159,159,159,159,159,159
?,1713,1713,1713,1713,1713,1713,1713,1713,1713,1713
?,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078
?,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513
?,1558,1558,1558,1558,1558,1558,1558,1558,1558,1558
?,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392
?,962,962,962,962,962,962,962,962,962,962
?,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429
?,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984
?,2173,2173,2173,2173,2173,2173,2173,2173,2173,2173
?,738,738,738,738,738,738,738,738,738,738
?,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230
?,950,950,950,950,950,950,950,950,950,950
?,1197,1197,1197,1197,1197,1197,1197,1197,1197,1197
?,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987
?,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008
?,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607
?,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449
?,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463
?,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226
?,1971,1971,1971,1971,1971,1971,1971,1971,1971,1971
?,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211
?,396,396,396,396,396,396,396,396,396,396
?,897,897,897,897,897,897,897,897,897,897
?,461,461,461,461,461,461,461,461,461,461
?,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177
?,1719,1719,1719,1719,1719,1719,1719,1719,1719,1719
?,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832
?,1333,1333,1333,1333,1333,1333,1333,1333,1333,1333
?,1014,1014,1014,1014,1014,1014,1014,1014,1014,1014
?,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741
?,475,475,475,475,475,475,475,475,475,475
?,722,722,722,722,722,722,722,722,722,722
?,1904,1904,1904,1904,1904,1904,1904,1904,1904,1904
?,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307
?,466,466,466,466,466,466,466,466,466,466
?,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424
?,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631
?,525,525,525,525,525,525,525,525,525,525
?,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982
?,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004
?,2462,2462,2462,2462,2462,2462,2462,2462,2462,2462
?,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688
?,962,962,962,962,962,962,962,962,962,962
?,119,119,119,119,119,119,119,119,119,119
?,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192
?,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098
?,2079,2079,2079,2079,2079,2079,2079,2079,2079,2079
?,882,882,882,882,882,882,882,882,882,882
?,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676
?,250,250,250,250,250,250,250,250,250,250
?,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304
?,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324
?,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072
?,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301
?,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685
?,1604,1604,1604,1604,1604,1604,1604,1604,1604,1604
?,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811
?,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742
?,1633,1633,1633,1633,1633,1633,1633,1633,1633,1633
?,1068,1068,1068,1068,1068,1068,1068,1068,1068,1068
?,224,224,224,224,224,224,224,224,224,224
?,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
?,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989
?,897,897,897,897,897,897,897,897,897,897
?,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392
?,187,187,187,187,187,187,187,187,187,187
?,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264
?,1834,1834,1834,1834,1834,1834,1834,1834,1834,1834
?,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679
?,907,907,907,907,907,907,907,907,907,907
?,2345,2345,2345,2345,2345,2345,2345,2345,2345,2345
?,683,683,683,683,683,683,683,683,683,683
?,2196,2196,2196,2196,2196,2196,2196,2196,2196,2196
?,845,845,845,845,845,845,845,845,845,845
?,452,452,452,452,452,452,452,452,452,452
?,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513
?,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502
?,1351,1351,1351,1351,1351,1351,1351,1351,1351,1351
?,530,530,530,530,530,530,530,530,530,530
?,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478
?,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211
?,82,82,82,82,82,82,82,82,82,82
?,87,87,87,87,87,87,87,87,87,87
?,1554,1554,1554,1554,1554,1554,1554,1554,1554,1554
?,370,370,370,370,370,370,370,370,370,370
?,1366,1366,1366,1366,1366,1366,1366,1366,1366,1366
?,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445
?,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265
?,260,260,260,260,260,260,260,260,260,260
?,202,202,202,202,202,202,202,202,202,202
?,2125,2125,2125,2125,2125,2125,2125,2125,2125,2125
?,863,863,863,863,863,863,863,863,863,863
?,1484,1484,1484,1484,1484,1484,1484,1484,1484,1484
?,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194
?,813,813,813,813,813,813,813,813,813,813
?,644,644,644,644,644,644,644,644,644,644
?,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
?,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621
?,940,940,940,940,940,940,940,940,940,940
?,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189
?,662,662,662,662,662,662,662,662,662,662
?,1532,1532,1532,1532,1532,1532,1532,1532,1532,1532
?,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358
?,1694,1694,1694,1694,1694,1694,1694,1694,1694,1694
?,884,884,884,884,884,884,884,884,884,884
?,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265
?,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019
?,56,56,56,56,56,56,56,56,56,56
?,148,148,148,148,148,148,148,148,148,148
?,83,83,83,83,83,83,83,83,83,83
?,2157,2157,2157,2157,2157,2157,2157,2157,2157,2157
?,420,420,420,420,420,420,420,420,420,420
?,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055
?,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630
?,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987
?,174,174,174,174,174,174,174,174,174,174
?,643,643,643,643,643,643,643,643,643,643
?,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160
?,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235
?,100,100,100,100,100,100,100,100,100,100
?,943,943,943,943,943,943,943,943,943,943
?,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013
?,139,139,139,139,139,139,139,139,139,139
?,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116
?,507,507,507,507,507,507,507,507,507,507
?,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548
?,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642
?,538,538,538,538,538,538,538,538,538,538
?,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106
?,348,348,348,348,348,348,348,348,348,348
?,314,314,314,314,314,314,314,314,314,314
?,303,303,303,303,303,303,303,303,303,303
?,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067
?,1702,1702,1702,1702,1702,1702,1702,1702,1702,1702
?,83,83,83,83,83,83,83,83,83,83
?,61,61,61,61,61,61,61,61,61,61
?,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219
?,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478
?,622,622,622,622,622,622,622,622,622,622
?,392,392,392,392,392,392,392,392,392,392
?,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410
?,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603
?,796,796,796,796,796,796,796,796,796,796
?,2481,2481,2481,2481,2481,2481,2481,2481,2481,2481
?,1279,1279,1279,1279,1279,1279,1279,1279,1279,1279
?,1326,1326,1326,1326,1326,1326,1326,1326,1326,1326
?,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742
?,2099,2099,2099,2099,2099,2099,2099,2099,2099,2099
?,96,96,96,96,96,96,96,96,96,96
?,1238,1238,1238,1238,1238,1238,1238,1238,1238,1238
?,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123
?,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
?,831,831,831,831,831,831,831,831,831,831
?,409,409,409,409,409,409,409,409,409,409
?,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083
?,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361
?,1931,1931,1931,1931,1931,1931,1931,1931,1931,1931
?,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543
?,1193,1193,1193,1193,1193,1193,1193,1193,1193,1193
?,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760
?,382,382,382,382,382,382,382,382,382,382
?,911,911,911,911,911,911,911,911,911,911
?,1665,1665,1665,1665,1665,1665,1665,1665,1665,1665
?,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298
?,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141
?,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980
?,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165
?,2185,2185,2185,2185,2185,2185,2185,2185,2185,2185
?,2076,2076,2076,2076,2076,2076,2076,2076,2076,2076
?,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002
?,1567,1567,1567,1567,1567,1567,1567,1567,1567,1567
?,71,71,71,71,71,71,71,71,71,71
?,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036
?,1613,1613,1613,1613,1613,1613,1613,1613,1613,1613
?,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527
?,2239,2239,2239,2239,2239,2239,2239,2239,2239,2239
?,444,444,444,444,444,444,444,444,444,444
?,1853,1853,1853,1853,1853,1853,1853,1853,1853,1853
?,918,918,918,918,918,918,918,918,918,918
?,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367
?,102,102,102,102,102,102,102,102,102,102
?,1628,1628,1628,1628,1628,1628,1628,1628,1628,1628
?,951,951,951,951,951,951,951,951,951,951
?,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832
?,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515
?,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953
?,2307,2307,2307,2307,2307,2307,2307,2307,2307,2307
?,447,447,447,447,447,447,447,447,447,447
?,1273,1273,1273,1273,1273,1273,1273,1273,1273,1273
?,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362
?,589,589,589,589,589,589,589,589,589,589
?,343,343,343,343,343,343,343,343,343,343
?,391,391,391,391,391,391,391,391,391,391
?,2298,2298,2298,2298,2298,2298,2298,2298,2298,2298
?,694,694,694,694,694,694,694,694,694,694
?,851,851,851,851,851,851,851,851,851,851
?,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007
?,2431,2431,2431,2431,2431,2431,2431,2431,2431,2431
?,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024
?,344,344,344,344,344,344,344,344,344,344
?,579,579,579,579,579,579,579,579,579,579
?,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652
?,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940
?,2144,2144,2144,2144,2144,2144,2144,2144,2144,2144
?,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321
?,953,953,953,953,953,953,953,953,953,953
?,242,242,242,242,242,242,242,242,242,242
?,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
?,1033,1033,1033,1033,1033,1033,1033,1033,1033,1033
?,1687,1687,1687,1687,1687,1687,1687,1687,1687,1687
?,1276,1276,1276,1276,1276,1276,1276,1276,1276,1276
?,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384
?,617,617,617,617,617,617,617,617,617,617
?,150,150,150,150,150,150,150,150,150,150
?,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317
?,2316,2316,2316,2316,2316,2316,2316,2316,2316,2316
?,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453
?,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666
?,23,23,23,23,23,23,23,23,23,23
?,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099
?,857,857,857,857,857,857,857,857,857,857
?,2304,2304,2304,2304,2304,2304,2304,2304,2304,2304
?,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002
?,2235,2235,2235,2235,2235,2235,2235,2235,2235,2235
?,2048,2048,2048,2048,2048,2048,2048,2048,2048,2048
?,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283
?,966,966,966,966,966,966,966,966,966,966
?,1319,1319,1319,1319,1319,1319,1319,1319,1319,1319
?,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
?,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979
?,2108,2108,2108,2108,2108,2108,2108,2108,2108,2108
?,2273,2273,2273,2273,2273,2273,2273,2273,2273,2273
?,334,334,334,334,334,334,334,334,334,334
?,431,431,431,431,431,431,431,431,431,431
?,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744
?,318,318,318,318,318,318,318,318,318,318
?,1539,1539,1539,1539,1539,1539,1539,1539,1539,1539
?,522,522,522,522,522,522,522,522,522,522
?,56,56,56,56,56,56,56,56,56,56
?,664,664,664,664,664,664,664,664,664,664
?,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130
?,498,498,498,498,498,498,498,498,498,498
?,681,681,681,681,681,681,681,681,681,681
?,809,809,809,809,809,809,809,809,809,809
?,1793,1793,1793,1793,1793,1793,1793,1793,1793,1793
?,466,466,466,466,466,466,466,466,466,466
?,160,160,160,160,160,160,160,160,160,160
?,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738
?,2029,2029,2029,2029,2029,2029,2029,2029,2029,2029
?,700,700,700,700,700,700,700,700,700,700
?,2149,2149,2149,2149,2149,2149,2149,2149,2149,2149
?,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996
?,573,573,573,573,573,573,573,573,573,573
?,2241,2241,2241,2241,2241,2241,2241,2241,2241,2241
?,1713,1713,1713,1713,1713,1713,1713,1713,1713,1713
?,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636
?,38,38,38,38,38,38,38,38,38,38
?,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216
?,482,482,482,482,482,482,482,482,482,482
?,1784,1784,1784,1784,1784,1784,1784,1784,1784,1784
?,1206,1206,1206,1206,1206,1206,1206,1206,1206,1206
?,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111
?,2141,2141,2141,2141,2141,2141,2141,2141,2141,2141
?,1321,1321,1321,1321,1321,1321,1321,1321,1321,1321
?,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523
?,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310
?,680,680,680,680,680,680,680,680,680,680
?,580,580,580,580,580,580,580,580,580,580
?,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189
?,2144,2144,2144,2144,2144,2144,2144,2144,2144,2144
?,838,838,838,838,838,838,838,838,838,838
?,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515
?,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521
?,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128
?,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477
?,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030
?,1934,1934,1934,1934,1934,1934,1934,1934,1934,1934
?,1896,1896,1896,1896,1896,1896,1896,1896,1896,1896
?,863,863,863,863,863,863,863,863,863,863
?,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353
?,555,555,555,555,555,555,555,555,555,555
?,673,673,673,673,673,673,673,673,673,673
?,2148,2148,2148,2148,2148,2148,2148,2148,2148,2148
?,1941,1941,1941,1941,1941,1941,1941,1941,1941,1941
?,41,41,41,41,41,41,41,41,41,41
?,1302,1302,1302,1302,1302,1302,1302,1302,1302,1302
?,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706
?,735,735,735,735,735,735,735,735,735,735
?,616,616,616,616,616,616,616,616,616,616
?,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928
?,275,275,275,275,275,275,275,275,275,275
?,23,23,23,23,23,23,23,23,23,23
?,1278,1278,1278,1278,1278,1278,1278,1278,1278,1278
?,769,769,769,769,769,769,769,769,769,769
?,817,817,817,817,817,817,817,817,817,817
?,385,385,385,385,385,385,385,385,385,385
?,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203
?,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879
?,1356,1356,1356,1356,1356,1356,1356,1356,1356,1356
?,388,388,388,388,388,388,388,388,388,388
?,251,251,251,251,251,251,251,251,251,251
?,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920
?,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435
?,641,641,641,641,641,641,641,641,641,641
?,274,274,274,274,274,274,274,274,274,274
?,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436
?,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291
?,926,926,926,926,926,926,926,926,926,926
?,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413
?,58,58,58,58,58,58,58,58,58,58
?,790,790,790,790,790,790,790,790,790,790
?,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125
?,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165
?,1746,1746,1746,1746,1746,1746,1746,1746,1746,1746
?,2394,2394,2394,2394,2394,2394,2394,2394,2394,2394
?,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253
?,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505
?,1652,1652,1652,1652,1652,1652,1652,1652,1652,1652
?,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044
?,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299
?,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217
?,830,830,830,830,830,830,830,830,830,830
?,318,318,318,318,318,318,318,318,318,318
?,2428,2428,2428,2428,2428,2428,2428,2428,2428,2428
?,625,625,625,625,625,625,625,625,625,625
